Quận,Loại_BDS,Pháp_lý,Số_tầng,Số_phòng,Diện_tích,Dài,Rộng,Giá
"Quận 8","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",9,2," 68 m2","16,4m","4,2m"," 1,32 tỷ "
"Quận 4","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",9,3," 176 m2",30m,"6,8m"," 1,42 tỷ "
"Quận 10","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",9,2," 82 m2",18m,4m," 1,69 tỷ "
"Huyện Cần Giờ","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 200 m2",20m,10m," 1,9 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 75 m2",15m,---," 450 triệu "
"Quận Tân Bình","Nhà mặt tiền",---,2,3," 92 m2",23m,4m," 23 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 40 m2",10m,4m," 2,15 tỷ "
"Quận 8","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,2," 44 m2","14,5m",3m," 3,49 tỷ "
"Huyện Cần Giờ","Đất thổ cư, đất ở",---,---,---," 150 m2",20m,"7,5m"," 700 triệu "
" Huyện Cần Giờ","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 120 m2",20m,6m," 1 tỷ "
"Quận 7","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 90 m2",18m,5m," 2,7 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 100 m2",20m,6m," 2 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 55 m2",14m,4m," 10,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,3,5," 75 m2",---,---," 7,6 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 45 m2",10m,"4,5m"," 2,35 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,2,4," 43 m2",---,---," 12,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,3,5," 75 m2",---,---," 7,6 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 45 m2",10m,"4,5m"," 2,35 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,2,4," 43 m2",---,---," 12,5 tỷ "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 125 m2",25m,5m," 920 triệu "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,4," 120 m2",11m,"3,8m"," 2,03 tỷ "
"Quận 6","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,2," 27 m2","5,6m","4,3m"," 3,65 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 52 m2",12m,"4,3m"," 3,78 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 38 m2","10,5m","3,5m"," 4,3 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 45 m2",10m,"4,5m"," 2,5 tỷ "
"Thành phố Thủ Đức","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 117 m2",---,"5,3m"," 7 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 48 m2",12m,4m," 3,75 tỷ "
"Quận 12","Nhà mặt tiền",---,2,3," 50 m2",---,---," 5 tỷ "
"Quận Tân Phú","Nhà mặt tiền",---,4,6," 60 m2",15m,4m," 9,8 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,2,3," 60 m2",15m,4m," 5,5 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 63 m2",12m,"5,1m"," 4,2 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,5,6," 65 m2",13m,5m," 35 tỷ "
"Quận Bình Tân","Nhà trong hẻm",---,1,2," 82 m2",17m,5m," 6,2 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 68 m2",14m,5m," 4,65 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,12," 117 m2",23m,5m," 25,5 tỷ "
"Quận Bình Tân","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 40 m2",10m,4m," 3,68 tỷ "
"Quận Tân Phú","Nhà mặt tiền",---,4,6," 60 m2",15m,4m," 9,8 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,2,3," 60 m2",15m,4m," 5,5 tỷ "
"Quận 12","Nhà mặt tiền",---,2,3," 50 m2",---,---," 5 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 63 m2",12m,"5,1m"," 4,2 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,5,6," 65 m2",13m,5m," 35 tỷ "
"Quận Bình Tân","Nhà trong hẻm",---,1,2," 82 m2",17m,5m," 6,2 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 68 m2",14m,5m," 4,65 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,12," 117 m2",23m,5m," 25,5 tỷ "
"Quận Bình Tân","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 40 m2",10m,4m," 3,68 tỷ "
"Quận 3","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",4,1," 30 m2",11m,3m," 1,8 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Giấy tờ hợp lệ",4,6," 50 m2",10m,5m," 6,65 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 40 m2",10m,4m," 4,4 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,3," 98 m2",16m,6m," 6 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Giấy tờ hợp lệ",4,6," 50 m2",10m,5m," 6,65 tỷ "
"Quận Gò Vấp","Căn hộ chung cư","Giấy tờ hợp lệ",11,2," 83 m2",---,---," 3 tỷ "
" Quận 2","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",3,5," 700 m2",35m,20m," 153 tỷ "
" Quận 2","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 130 m2",17m,8m," 34 tỷ "
" Quận 2","Nhà mặt tiền",---,3,---," 266 m2",40m,8m," 37 tỷ "
" Quận 2","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",3,5," 353 m2",27m,"13,5m"," 58 tỷ "
" Quận 2","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,5," 120 m2",17m,7m," 32 tỷ "
" Quận 2","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,5," 120 m2",17m,7m," 32 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 48 m2",12m,"3,3m"," 4,5 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 90 m2",20m,"4,3m"," 6,3 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 51 m2",15m,"3,55m"," 6 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 48 m2",12m,4m," 3,9 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 60 m2",15m,"4,2m"," 15,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 66 m2","13,2m",5m," 13,7 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,8," 75 m2",15m,5m," 20 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",---,1," 60 m2",15m,4m," 10,5 tỷ "
"Quận 12","Đất nền, liền kề, đất dự án","Sổ hồng/ Sổ đỏ",---,---," 62 m2",16m,4m," 4,03 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 276 m2",---,---," 8,7 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 78 m2",23m,"3,4m"," 100 triệu / m2  "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 80 m2",20m,4m," 27 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",12,10," 600 m2",30m,20m," 780 tỷ "
"Quận Tân Bình","Nhà hàng, khách sạn","Sổ hồng/ Sổ đỏ",7,46," 400 m2",20m,20m," 168 tỷ "
"Quận 3","Phòng trọ, nhà trọ","Sổ hồng/ Sổ đỏ",7,23," 150 m2",19m,"7,4m"," 65 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 203 m2",18m,"11,25m"," 92 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,6," 172 m2",21m,"8,2m"," 85 tỷ "
"Quận 1","Nhà hàng, khách sạn","Sổ hồng/ Sổ đỏ",6,60," 200 m2",20m,8m," 120 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 120 m2",17m,8m," 78 tỷ "
"Quận 1","Nhà hàng, khách sạn","Sổ hồng/ Sổ đỏ",6,60," 200 m2",20m,8m," 120 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 120 m2",17m,8m," 78 tỷ "
"Quận 3","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 06 m2",25m,25m," 560 tỷ "
"Quận 5","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",1,2," 88 m2",22m,4m," 2,9 tỷ "
"Thành phố Thủ Đức","Biệt thự, nhà liền kề",---,2,2," 80 m2",16m,5m," 3,56 tỷ "
"Thành phố Thủ Đức","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",2,2," 60 m2",12m,5m," 700 triệu "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",---,1," 42 m2",---,---," 2,6 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,4," 48 m2",12m,4m," 3,9 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 58 m2",20m,3m," 100 triệu / m2  "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 70 m2","16,2m","4,3m"," 6,2 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 67 m2",16m,"4,2m"," 6,2 tỷ "
"Quận 7","Nhà mặt tiền",---,2,2," 71 m2","16,3m","4,3m"," 6,2 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 68 m2","16,2m","4,2m"," 6,2 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 69 m2",16m,"4,3m"," 6,2 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 61 m2","13,5m","4,5m"," 7,4 tỷ "
"Quận 7","Nhà mặt tiền",---,4,4," 68 m2","13,6m",5m," 7,6 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 70 m2",14m,5m," 7,5 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 66 m2","16,5m",4m," 6,5 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 68 m2","15,2m","4,5m"," 6,5 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 80 m2",19m,"4,2m"," 8 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 80 m2",19m,"4,2m"," 8 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 68 m2","15,2m","4,5m"," 6,5 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 61 m2","13,5m","4,5m"," 7,4 tỷ "
"Quận 7","Nhà mặt tiền",---,4,4," 68 m2","13,6m",5m," 7,6 tỷ "
"Quận 7","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 70 m2",14m,5m," 7,5 tỷ "
"Quận 10","Nhà trong hẻm",---,4,5," 44 m2",12m,"3,5m"," 6,9 tỷ "
" Quận 2","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 66 m2",17m,4m," 15,7 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,4,4," 100 m2",20m,"4,5m"," 11,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,1,1," 300 m2",25m,12m," 24,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,4,6," 120 m2",20m,6m," 28,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,2,6," 80 m2",20m,"4,1m"," 16,9 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 40 m2",---,4m," 4,99 tỷ "
"Quận Gò Vấp","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 70 m2",---,"4,5m"," 8,99 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 50 m2",11m,"4,2m"," 18 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,6," 220 m2",20m,11m," 23,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 77 m2",18m,5m," 8 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,2,2," 80 m2",24m,"4,2m"," 21 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,1,1," 250 m2",30m,"8,5m"," 37 tỷ "
"Quận 3","Nhà mặt tiền",---,8,---," 84 m2",20m,"4,2m"," 33 tỷ "
"Quận 11","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,6," 515 m2",20m,20m," 145 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 50 m2",11m,"4,2m"," 18 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,6," 220 m2",20m,11m," 23,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 77 m2",18m,5m," 8 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,2,2," 80 m2",24m,"4,2m"," 21 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,1,1," 250 m2",30m,"8,5m"," 37 tỷ "
"Quận 3","Nhà mặt tiền",---,8,---," 84 m2",20m,"4,2m"," 33 tỷ "
"Quận 11","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,6," 515 m2",20m,20m," 145 tỷ "
"Quận 11","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,6," 515 m2",20m,20m," 145 tỷ "
"Quận 11","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,6," 515 m2",20m,20m," 145 tỷ "
"Quận 11","Nhà mặt tiền",---,7,10," 250 m2",16m,16m," 78 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 51 m2",---,---," 6,4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 64 m2",---,---," 6,4 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 82 m2","20,5m",5m," 5,5 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,2,2," 76 m2",---,---," 6,7 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 92 m2","23,5m","4,3m"," 31 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 62 m2",16m,4m," 12 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,7," 106 m2",19m,"5,6m"," 12,9 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 73 m2",17m,"4,3m"," 18,9 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,10," 84 m2",21m,4m," 26,9 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,6," 90 m2",21m,"4,3m"," 32 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 73 m2",17m,"4,3m"," 18,9 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 64 m2",16+m,4m," 13 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,10," 84 m2",21m,4m," 26,9 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 69 m2",15m,"4,5m"," 19 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,6," 90 m2",21m,"4,3m"," 32 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 29 m2",7m,"4,2m"," 2,75 tỷ "
"Quận 5","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,1," 140 m2",15m,9m," 18 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 320 m2",27m,15m," 75 tỷ "
"Quận 8","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 130 m2",12m,12m," 14,8 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,6," 320 m2",27m,15m," 74 tỷ "
"Quận 5","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,10," 220 m2",25m,9m," 85 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,4," 50 m2",5m,10m," 7 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,6," 270 m2",27m,10m," 60 tỷ "
"Quận 5","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,10," 160 m2",20m,8m," 60 tỷ "
"Quận 3","Nhà mặt tiền",---,7,7," 189 m2",21m,9m," 42 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,15," 176 m2",22m,8m," 58 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,4,5," 70 m2",19m,4m," 26,5 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,12," 70 m2",15m,"5,3m"," 12,6 tỷ "
"Thành phố Thủ Đức","Căn hộ chung cư",---,17,3," 58 m2",---,---," 2,1 tỷ "
"Huyện Nhà Bè","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 72 m2",18m,4m," 2,05 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,15," 176 m2",22m,8m," 58 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,4,5," 70 m2",19m,4m," 26,5 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,12," 70 m2",15m,"5,3m"," 12,6 tỷ "
"Thành phố Thủ Đức","Căn hộ chung cư",---,17,3," 58 m2",---,---," 2,1 tỷ "
"Huyện Nhà Bè","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 72 m2",18m,4m," 2,05 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 82 m2",22m,4m," 16,5 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 100 m2",20m,5m," 16,5 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm",---,3,6," 68 m2",17m,4m," 10,5 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,3,5," 300 m2",20m,5m," 32 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,1,3," 140 m2",22m,"6,5m"," 34 tỷ "
"Quận Gò Vấp","Nhà trong hẻm",---,5,29," 120 m2",---,5m," 12,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,7,6," 79 m2",20m,4m," 24,9 tỷ "
"Quận 1","Nhà mặt tiền",---,8,8," 170 m2",18m,"8,7m"," 135 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,7,7," 297 m2",33m,"9,6m"," 110 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,1,1," 1.580 m2",54m,18m," 160 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền",---,1,1," 440 m2",22m,14m," 130 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",---,2," 68 m2",17m,4m," 4,9 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,2,2," 200 m2",26m,"7,8m"," 18 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,2,2," 84 m2",20m,"4,2m"," 23,5 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,3,3," 167 m2",26m,"7,5m"," 32,5 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,2,2," 200 m2",26m,"7,8m"," 18 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,2,2," 84 m2",20m,"4,2m"," 23,5 tỷ "
"Thành phố Thủ Đức","Biệt thự, nhà liền kề",---,3,4," 240 m2",20m,12m," 38,5 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,3,3," 167 m2",26m,"7,5m"," 32,5 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền",---,4,4," 86 m2",20m,"4,3m"," 21 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,3," 95 m2",20m,"4,3m"," 6,3 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,3,6," 116 m2",---,---," 14 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,2,4," 45 m2",---,---," 10 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,3,6," 82 m2",---,---," 17,2 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,5,12," 120 m2",---,---," 33 tỷ "
"Quận Tân Bình","Nhà trong hẻm",---,3,6," 60 m2",---,---," 12,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,3,6," 88 m2",---,---," 33 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 500 m2",39m,13m," 2,7 tỷ "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 120 m2",20m,6m," 550 triệu "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,8," 265 m2",39m,8m," 37 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 110 m2","22,5m",5m," 24,5 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 108 m2","22,5m","4,5m"," 22 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,4," 100 m2",20m,5m," 20,5 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,3,5," 72 m2",---,---," 38 tỷ "
"Quận Phú Nhuận","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",3,5," 112 m2",14m,8m," 21 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,3,5," 72 m2",---,---," 38 tỷ "
"Quận Phú Nhuận","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",3,5," 112 m2",14m,8m," 21 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 45 m2",10m,"4,5m"," 4,59 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,3," 211 m2",21m,10m," 15,7 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,11," 600 m2",50m,12m," 20 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 358 m2",37m,10m," 5,2 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 600 m2",30m,20m," 4,8 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,3,5," 85 m2",---,---," 18,9 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,4,5," 100 m2",20m,5m," 21,5 tỷ "
"Quận Bình Thạnh","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,18," 80 m2",18m,"5,8m"," 13,7 tỷ "
"Quận Tân Bình","Nhà mặt tiền",---,3,5," 72 m2",---,---," 38 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,20," 160 m2",30m,5m," 52 tỷ "
"Thành phố Thủ Đức","Nhà mặt tiền",---,1,2," 68 m2",15m,"4,53m"," 11 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 1.000 m2",30m,32m," 5,2 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 52 m2",---,---," 4,75 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 41 m2",10m,"4,1m"," 4,4 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 80 m2",16m,5m," 2,55 tỷ "
"Quận 7","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 80 m2",16m,5m," 5,5 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở",---,---,---," 130 m2",26m,5m," 1,2 tỷ "
"Quận 7","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",12,2," 100 m2",19m,6m," 5 tỷ "
"Quận 7","Căn hộ chung cư","Sổ hồng/ Sổ đỏ",12,2," 100 m2",19m,6m," 5 tỷ "
"Quận 3","Nhà trong hẻm",---,2,2," 42 m2",6m,3m," 3,1 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 2.772 m2",98m,32m," 6,5 triệu / m2  "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 72 m2",14m,"5,4m"," 6,3 tỷ "
"Thành phố Thủ Đức","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 68 m2",17m,4m," 2,95 tỷ "
"Thành phố Thủ Đức","Phòng trọ, nhà trọ","Sổ hồng/ Sổ đỏ",1,4," 75 m2",15m,5m," 3,65 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,4," 110 m2",18m,6m," 5,5 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm",---,3,3," 100 m2",---,---," 11 tỷ "
