Quận,Loại_BDS,Pháp_lý,Số_tầng,Số_phòng,Diện_tích,Dài,Rộng,Giá
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 69 m2",14m,5m," 3,9 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,1," 223 m2",26m,8m," 18 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 54 m2","13,5m","4,3m"," 3,2 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở",---,---,---," 180 m2",18m,10m," 9,2 tỷ "
"Huyện Hóc Môn","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",---,---," 195 m2",15m,13m," 7,3 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 230 m2",23m,10m," 9,7 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 56 m2",14m,4m," 4,45 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 75 m2",15m,5m," 3,8 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 56 m2",14m,4m," 4,45 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 75 m2",15m,5m," 3,8 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở",---,---,---," 180 m2",18m,10m," 9,2 tỷ "
"Huyện Hóc Môn","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",---,---," 195 m2",15m,13m," 7,3 tỷ "
" Huyện Bình Chánh","Nhà mặt tiền","Giấy tờ hợp lệ",1,2," 64 m2",8m,4m," 550 triệu "
"Huyện Bình Chánh","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 125 m2",25m,5m," 1,2 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 164 m2",---,---," 5,8 tỷ "
"Quận 12","Nhà trong hẻm",---,3,4," 81 m2",---,---," 5,4 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 60 m2",15m,4m," 5,15 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 100 m2",25m,4m," 5,9 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 52 m2",13m,4m," 3,4 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 63 m2",---,---," 4,35 tỷ "
"Huyện Hóc Môn","Nhà trong hẻm",---,1,2," 40 m2",10m,4m," 1,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 88 m2",---,---," 5,85 tỷ "
"Quận 12","Nhà trong hẻm",---,2,4," 95 m2",---,---," 4,2 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 60 m2",13m,"4,5m"," 3,4 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 68 m2",16m,4m," 4,65 tỷ "
"Quận 12","Đất thổ cư, đất ở",---,---,---," 75 m2",---,---," 3,8 tỷ "
"Quận 12","Nhà mặt tiền",---,---,2," 115 m2",---,---," 6,35 tỷ "
"Quận 12","Nhà mặt tiền",---,---,2," 100 m2",---,---," 6,4 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 40 m2",---,4m," 3,1 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 52 m2",13m,4m," 3,4 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 48 m2",---,---," 3,7 tỷ "
"Quận 12","Nhà mặt tiền",---,4,5," 110 m2",---,---," 9 tỷ "
"Quận 12","Nhà mặt tiền",---,3,4," 45 m2",---,---," 4,7 tỷ "
"Quận 12","Nhà trong hẻm",---,3,4," 51 m2",---,---," 4,3 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 115 m2",23m,5m," 39 triệu / m2  "
"Quận 12","Nhà mặt tiền",---,2,6," 96 m2",24m,4m," 9,95 tỷ "
"Huyện Hóc Môn","Nhà trong hẻm",---,1,2," 40 m2",10m,4m," 1,5 tỷ "
"Quận 12","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 100 m2",25m,4m," 5,9 tỷ "
"Quận 12","Nhà mặt tiền",---,---,1," 100 m2",---,---," 5,3 tỷ "
"Quận 12","Nhà mặt tiền",---,1,2," 100 m2",---,---," 7,6 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 60 m2",15m,4m," 5,15 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",---,1," 129 m2",---,---," 11 tỷ "
"Quận 12","Nhà mặt tiền",---,1,1," 32 m2",---,---," 4,3 tỷ "
"Quận 12","Nhà trong hẻm",---,2,3," 53 m2","13,5m",4m," 4,5 tỷ "
"Quận 12","Nhà mặt tiền",---,---,2," 100 m2",---,---," 6,4 tỷ "
"Quận 12","Nhà mặt tiền",---,---,2," 115 m2",---,---," 6,35 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 80 m2",---,---," 5 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 52 m2",---,---," 3,8 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 40 m2",---,4m," 3,1 tỷ "
"Quận 12","Nhà mặt tiền",---,3,4," 45 m2",---,---," 4,7 tỷ "
"Quận 12","Nhà trong hẻm",---,3,4," 51 m2",---,---," 4,3 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 80 m2",---,---," 5 tỷ "
"Quận 12","Nhà mặt tiền",---,---,2," 68 m2",---,---," 4,85 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 63 m2","15,5m",4m," 3,8 tỷ "
"Quận 12","Nhà trong hẻm",---,2,3," 53 m2","13,5m",4m," 4,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",---,2," 70 m2",---,---," 4,45 tỷ "
"Quận 12","Nhà trong hẻm",---,---,2," 75 m2",---,---," 4 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 60 m2",15m,4m," 5,15 tỷ "
"Quận 12","Nhà trong hẻm",---,1,2," 52 m2",13m,4m," 3,4 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 80 m2",20m,4m," 5,3 tỷ "
"Quận 12","Nhà trong hẻm",---,4,6," 80 m2",---,---," 4,05 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 72 m2",18m,4m," 5,5 tỷ "
"Huyện Nhà Bè","Căn hộ chung cư","Giấy phép KD",---,2," 75 m2",---,---," 3,5 tỷ "
"Quận 7","Căn hộ chung cư",---,---,2," 74 m2",---,---," 3,6 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,10," 100 m2",25m,4m," 11 tỷ "
"Quận Gò Vấp","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 37 m2",---,---," 3,4 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,5," 1.118 m2",24m,5m," 13,5 tỷ "
"Quận Bình Thạnh","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 48 m2",12m,4m," 4,6 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 56 m2",15m,"3,8m"," 14 tỷ "
"Quận 11","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",8,8," 81 m2",18m,4m," 23 tỷ "
"Quận 8","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 78 m2",20m,"3,9m"," 9,5 tỷ "
"Quận 11","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 102 m2",17m,6m," 14,5 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 39 m2","12,5m",3m," 7,5 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,14," 89 m2",21m,"4,1m"," 11,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 57 m2",15m,"3,8m"," 13 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,8," 50 m2",12m,"4,2m"," 9,7 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,8," 94 m2",21m,"4,5m"," 16,5 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,3," 106 m2","17,5m",6m," 16,4 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 50 m2",12m,"4,06m"," 9,4 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 81 m2","10,4m","3,8m"," 6,6 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,6," 40 m2",11m,"3,5m"," 6,8 tỷ "
"Quận Tân Bình","Biệt thự, nhà liền kề","Sổ hồng/ Sổ đỏ",5,4," 260 m2",27m,"9,7m"," 62 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 49 m2",13m,"3,7m"," 8,8 tỷ "
"Quận 5","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,7," 68 m2",17m,"3,8m"," 11,8 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,27," 150 m2",26m,"4,2m"," 26 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 80 m2",20m,4m," 4,3 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 65 m2","16,5m",4m," 12,7 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 23 m2",7m,"3,3m"," 3,15 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 104 m2",26m,4m," 22,5 tỷ "
"Quận 10","Nhà trong hẻm",---,4,3," 31 m2","10,5m",3m," 5,8 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,3," 106 m2","17,5m",6m," 16,4 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 50 m2",12m,"4,06m"," 9,4 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,8," 50 m2",12m,"4,2m"," 9,7 tỷ "
"Quận 11","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,5," 86 m2",22m,"3,9m"," 16,8 tỷ "
"Quận 1","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,3," 60 m2",15m,4m," 18 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,5," 72 m2",17m,"4,2m"," 11,9 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,4," 76 m2",13m,6m," 9,5 tỷ "
"Quận 8","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 78 m2",20m,"3,9m"," 9,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 96 m2",21m,"4,6m"," 11,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 37 m2","10,5m","3,6m"," 6,6 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 114 m2","17,5m",6m," 16,5 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,2," 28 m2",8m,"3,6m"," 4 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,6," 50 m2","12,5m",4m," 14,3 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 80 m2",22m,"3,6m"," 12 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 100 m2",9m,4m," 23,5 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,3," 34 m2",9m,"3,95m"," 12,5 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 58 m2",17m,"7,5m"," 6,3 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 61 m2","14,5m","4,2m"," 7,8 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 42 m2",12m,"3,55m"," 9,1 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 55 m2",11m,5m," 10,2 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,4," 135 m2",21m,"4,7m"," 6 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",7,15," 105 m2",22m,5m," 34,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,3," 76 m2",19m,4m," 7,4 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 70 m2","17,5m",4m," 8,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 21 m2",7m,3m," 3,5 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 94 m2",12m,7m," 18 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 117 m2",23m,"5,4m"," 20,5 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 102 m2",20m,"5,2m"," 6,1 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 64 m2",16m,4m," 10 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 114 m2","17,5m",6m," 16,5 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,2," 28 m2",8m,"3,6m"," 4 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 80 m2",22m,"3,6m"," 12 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 100 m2",9m,4m," 23,5 tỷ "
"Quận Phú Nhuận","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,3," 34 m2",9m,"3,95m"," 12,5 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,7," 44 m2","12,5m","3,5m"," 9 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 70 m2",15m,"4,8m"," 8,9 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 77 m2","16,5m","4,65m"," 13,8 tỷ "
"Quận 4","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 34 m2",7m,"4,9m"," 4,6 tỷ "
"Huyện Hóc Môn","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 370 m2",46m,8m," 19 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 88 m2",22m,4m," 4,95 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 78 m2",18m,"4,5m"," 5,8 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 114 m2","27,5m","4,2m"," 8 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 76 m2",19m,4m," 5,85 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 60 m2",15m,4m," 6,5 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 96 m2",24m,4m," 6,65 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở",---,---,---," 180 m2",18m,10m," 9,2 tỷ "
"Huyện Hóc Môn","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",---,---," 195 m2",15m,13m," 7,3 tỷ "
"Huyện Hóc Môn","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 307 m2",34m,9m," 14,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,2," 70 m2",17m,4m," 5,7 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 230 m2",23m,10m," 9,7 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 75 m2",15m,5m," 3,8 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 56 m2",14m,4m," 4,45 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 128 m2",32m,4m," 6,35 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 81 m2",18m,"4,5m"," 5,5 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 80 m2",16m,5m," 8,8 tỷ "
"Quận 12","Nhà trong hẻm",---,4,4," 95 m2",20m,"4,5m"," 8 tỷ "
"Huyện Hóc Môn","Đất nông, lâm nghiệp","Sổ hồng/ Sổ đỏ",---,---," 320 m2",20m,16m," 6,7 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 52 m2",13m,"4,1m"," 5,6 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 60 m2",15m,4m," 6,5 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 230 m2",23m,10m," 9,7 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 125 m2",25m,5m," 5,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,6," 113 m2",25m,"4,5m"," 6,7 tỷ "
"Huyện Hóc Môn","Đất thổ cư, đất ở","Sổ hồng/ Sổ đỏ",---,---," 2.540 m2",56m,45m," 51 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,4," 182 m2",46m,5m," 9,3 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 110 m2","27,5m",4m," 7,9 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,5," 131 m2",20m,"6,7m"," 4,9 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 150 m2",42m,6m," 6,9 tỷ "
"Huyện Hóc Môn","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 370 m2",46m,8m," 19 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 58 m2",14m,"4,3m"," 5,6 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 53 m2",14m,4m," 4,6 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 94 m2",24m,"4,5m"," 6,2 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,5," 85 m2",22m,4m," 6,9 tỷ "
"Quận 12","Đất thổ cư, đất ở",---,---,---," 1.416 m2",64m,22m," 18 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,5," 110 m2",28m,4m," 9,5 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 120 m2",20m,5m," 7,2 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 69 m2",14m,5m," 3,9 tỷ "
"Huyện Củ Chi","Đất thổ cư, đất ở",---,---,---," 1.200 m2",70m,18m," 5,5 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 96 m2",24m,4m," 6,65 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 56 m2",15m,"3,8m"," 14 tỷ "
"Quận 4","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 34 m2",7m,"4,9m"," 4,6 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,4," 104 m2",26m,4m," 22,5 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,27," 150 m2",26m,"4,2m"," 26 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,14," 89 m2",21m,"4,1m"," 11,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 81 m2","10,4m","3,8m"," 6,6 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",7,28," 130 m2",28m,4m," 25,5 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 31 m2","9,5m","3,2m"," 7,2 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,4," 76 m2",13m,6m," 9,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 64 m2",16m,4m," 10 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,7," 94 m2",19m,"4,6m"," 13 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 43 m2","10,5m","3,5m"," 6,6 tỷ "
"Quận 5","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,6," 42 m2",10m,"3,2m"," 6,1 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 110 m2","27,5m",4m," 7,9 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",2,3," 114 m2","27,5m","4,2m"," 8 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 76 m2",19m,4m," 5,85 tỷ "
"Quận 12","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",1,2," 120 m2",20m,5m," 7,2 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 69 m2",14m,5m," 3,9 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 58 m2","14,5m",4m," 5,025 tỷ "
"Quận 12","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,3," 128 m2",32m,4m," 6,35 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 31 m2","9,6m","3,2m"," 7,3 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 128 m2",24m,"5,3m"," 16,5 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,2," 35 m2",11m,"3,2m"," 6,7 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,6," 68 m2",15m,"4,2m"," 12,9 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",6,7," 95 m2",19m,5m," 19 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 49 m2",13m,"3,8m"," 7,5 tỷ "
"Quận 11","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 102 m2",17m,6m," 14,5 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,4," 39 m2","12,5m",3m," 7,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,2," 23 m2",7m,"3,3m"," 3,15 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,9," 91 m2",22m,"4,4m"," 5,6 tỷ "
"Quận 11","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,7," 56 m2",14m,4m," 8,5 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 31 m2","9,5m","3,2m"," 7,2 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",1,2," 102 m2",20m,"5,2m"," 6,1 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 94 m2",12m,7m," 18 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",5,4," 117 m2",23m,"5,4m"," 20,5 tỷ "
"Quận 3","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,3," 80 m2",22m,"3,6m"," 12 tỷ "
"Quận 10","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",3,4," 100 m2",9m,4m," 23,5 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 55 m2",11m,5m," 10,2 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 42 m2",12m,"3,55m"," 9,1 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,2," 30 m2","5,5m","3,25m"," 4,6 tỷ "
"Quận 5","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,7," 68 m2",17m,"3,8m"," 11,8 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 49 m2",13m,"3,7m"," 8,8 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,4," 65 m2","16,5m",4m," 12,7 tỷ "
"Quận Bình Tân","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",2,4," 135 m2",21m,"4,7m"," 6 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",7,15," 105 m2",22m,5m," 34,5 tỷ "
"Quận Tân Phú","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,14," 89 m2",21m,"4,1m"," 11,5 tỷ "
"Quận 10","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 30 m2",9m,"3,3m"," 5,6 tỷ "
"Thành phố Thủ Đức","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",3,12," 132 m2",22m,6m," 6,95 tỷ "
"Quận 1","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,3," 31 m2","9,5m","3,2m"," 7,2 tỷ "
"Quận Tân Bình","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",6,6," 68 m2",17m,4m," 18,9 tỷ "
"Quận Tân Phú","Nhà mặt tiền","Sổ hồng/ Sổ đỏ",4,8," 200 m2",29m,7m," 25 tỷ "
"Quận Tân Bình","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",4,5," 77 m2","16,5m","4,65m"," 13,8 tỷ "
"Quận Phú Nhuận","Nhà trong hẻm","Sổ hồng/ Sổ đỏ",5,4," 42 m2",12m,"3,55m"," 9,1 tỷ "
